tema,artista,categoria
(I Can't Get No) Satisfaction,The Rolling Stones,Internacional (rock / pop / funk / soul)
Algún lugar te encontraré,Adrian´s band,Internacional (rock / pop / funk / soul)
Amiga mía,Los Prisioneros,Latino y pop en español
Amor dondequiera que estés,Barrio Boyzz & Selena,Latino y pop en español
Ángel para tu soledad,Patricio Rey y sus Redonditos de Ricota,Rock nacional argentino / rioplatense
Back in the U.S.S.R.,The Beatles,Internacional (rock / pop / funk / soul)
Before You Accuse Me,Eric Clapton,Internacional (rock / pop / funk / soul)
Brown Sugar,The Rolling Stones,Internacional (rock / pop / funk / soul)
Cadáver exquisito,Fito Páez,Rock nacional argentino / rioplatense
Cae el sol,Soda Stereo,Rock nacional argentino / rioplatense
Canción de despedida,Enrique Y Ana,Internacional (rock / pop / funk / soul)
Canto da Cidade,Banda Mar Azul,Internacional (rock / pop / funk / soul)
Celebration,Kool & The Gang,Internacional (rock / pop / funk / soul)
Circo Beat,Fito Páez,Rock nacional argentino / rioplatense
Clandestino,Toto Cutugno,Internacional (rock / pop / funk / soul)
Cómo te lo digo,Bronco,Internacional (rock / pop / funk / soul)
Corazón partío,Alejandro Sanz,Latino y pop en español
Cuando amas a alguien,"César ""Banana"" Pueyrredón",Latino y pop en español
D'yer Mak'er,Led Zeppelin,Internacional (rock / pop / funk / soul)
Da Ya Think I'm Sexy?,Rod Stewart,Internacional (rock / pop / funk / soul)
Dancing Queen,ABBA,Internacional (rock / pop / funk / soul)
Dancing with Myself,blink-182,Internacional (rock / pop / funk / soul)
Don't Cry,Guns N' Roses,Internacional (rock / pop / funk / soul)
Dos días en la vida,Fito Páez,Rock nacional argentino / rioplatense
El fantasma de Canterville,Porsuigieco,Internacional (rock / pop / funk / soul)
Ella usó mi cabeza como un revólver,Soda Stereo,Rock nacional argentino / rioplatense
En la ciudad de la furia,Soda Stereo,Rock nacional argentino / rioplatense
Eres para mí,Julieta Venegas & Ana Tijoux,Latino y pop en español
Gimme Some Lovin',The Spencer Davis Group,Internacional (rock / pop / funk / soul)
Gypsy Woman,Brian Hyland,Internacional (rock / pop / funk / soul)
Handle with Care,William Topley,Internacional (rock / pop / funk / soul)
Hasta que vuelvas,Luis Miguel,Latino y pop en español
Heroes,Peter Gabriel,Internacional (rock / pop / funk / soul)
I Still Haven't Found What I'm Looking For,U2,Internacional (rock / pop / funk / soul)
I'm Like a Bird,Nelly Furtado,Internacional (rock / pop / funk / soul)
If I Ain't Got You,Alicia Keys,Internacional (rock / pop / funk / soul)
If It Makes You Happy,Sheryl Crow,Internacional (rock / pop / funk / soul)
Iluminada y eterna,Flor Salvaje G,Internacional (rock / pop / funk / soul)
Inocente,Los Gigantes del Vallenato,"Cumbia, tropical y cuarteto"
