tema,artista,categoria
Algún lugar te encontraré,Adrian´s band,Internacional (rock / pop / funk / soul)
Amiga mía,Los Prisioneros,Latino y pop en español
Amor dondequiera que estés,Barrio Boyzz & Selena,Latino y pop en español
Canción de despedida,Enrique Y Ana,Internacional (rock / pop / funk / soul)
Canto da Cidade,Banda Mar Azul,Internacional (rock / pop / funk / soul)
Celebration,Kool & The Gang,Internacional (rock / pop / funk / soul)
Clandestino,Toto Cutugno,Internacional (rock / pop / funk / soul)
Cómo te lo digo,Bronco,Internacional (rock / pop / funk / soul)
Corazón partío,Alejandro Sanz,Latino y pop en español
Cuando amas a alguien,"César ""Banana"" Pueyrredón",Latino y pop en español
Dancing Queen,ABBA,Internacional (rock / pop / funk / soul)
El fantasma de Canterville,Porsuigieco,Internacional (rock / pop / funk / soul)
Eres para mí,Julieta Venegas & Ana Tijoux,Latino y pop en español
Gimme Some Lovin',The Spencer Davis Group,Internacional (rock / pop / funk / soul)
Gypsy Woman,Brian Hyland,Internacional (rock / pop / funk / soul)
Handle with Care,William Topley,Internacional (rock / pop / funk / soul)
I'm Like a Bird,Nelly Furtado,Internacional (rock / pop / funk / soul)
Iluminada y eterna,Flor Salvaje G,Internacional (rock / pop / funk / soul)
Inocente,Los Gigantes del Vallenato,"Cumbia, tropical y cuarteto"
Johnny B. Goode,Chuck Berry,Internacional (rock / pop / funk / soul)
Just the Two of Us,"Bill Withers & Grover Washington, Jr.",Internacional (rock / pop / funk / soul)
Laura no está,Los Abelardos,Latino y pop en español
Like a Stone,Audioslave,Internacional (rock / pop / funk / soul)
Llámame más temprano,MANO ARRIBA,Latino y pop en español
Lose Control,Silk,Internacional (rock / pop / funk / soul)
Mary Jane's Last Dance,Tom Petty & The Heartbreakers,Internacional (rock / pop / funk / soul)
Me vas a extrañar,Grupo Bryndis,Internacional (rock / pop / funk / soul)
Mi voiture,Riff,Latino y pop en español
No Rain,Blind Melon,Internacional (rock / pop / funk / soul)
No Woman,Blaine Larsen,Internacional (rock / pop / funk / soul)
Nothing's Gonna Stop Us Now,Chicago,Internacional (rock / pop / funk / soul)
Nunca me faltes,Los Davalos,Latino y pop en español
Pibe cantina,Yerba Brava,"Cumbia, tropical y cuarteto"
Pick Up the Pieces,Jean Knight,Internacional (rock / pop / funk / soul)
Raquel,La Misma Gente,"Cumbia, tropical y cuarteto"
Right Here Waiting,Richard Marx,Internacional (rock / pop / funk / soul)
Rutas argentinas,Almendra,Internacional (rock / pop / funk / soul)
Santeria,Sublime,Internacional (rock / pop / funk / soul)
Still the One,Orleans,Internacional (rock / pop / funk / soul)
Tomo para no enamorarme,Lora,Internacional (rock / pop / funk / soul)
Un pacto para vivir,La Liga,Latino y pop en español
Una calle nos separa,Leo Dan,Latino y pop en español
Yo no soy tu prisionero,La Rutera,"Cumbia, tropical y cuarteto"
You Sexy Thing,Hot Chocolate,Internacional (rock / pop / funk / soul)
