tema,artista,album,albumId,cover
Take On Me,a-ha,Hunting High and Low,380907762,https://is1-ssl.mzstatic.com/image/thumb/Music/c6/e1/c8/mzi.ixgzfcmc.jpg/300x300bb.jpg
Highway to Hell,AC/DC,Highway to Hell,574043989,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/b9/c8/ef/b9c8ef42-bbc9-64df-11f8-717571f6730f/886443673458.jpg/300x300bb.jpg
All That She Wants (2015 Remastered Version),Ace of Base,The Sign,959563976,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/42/59/8b/42598b61-bd54-aaa3-5280-d711569800b6/cover.jpg/300x300bb.jpg
Rolling in the Deep,Adele,21,1544491232,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/eb/ca/25/ebca2596-cd1e-b295-91a3-771c868d0a79/191404113868.png/300x300bb.jpg
Crazy,Aerosmith,Big Ones,1440913261,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2d/08/bf/2d08bf29-d87e-8ce9-3a48-2985787f8a7c/00720642471623.rgb.jpg/300x300bb.jpg
Cryin',Aerosmith,Rock de Alto Impacto,6802456215,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c9/b9/10/c9b91021-1aad-7260-18cc-1d2d5d3d4529/26UM1IM06624.rgb.jpg/300x300bb.jpg
I Don't Want to Miss a Thing,Aerosmith,Armageddon - The Album,217271260,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/0a/f1/af/0af1af45-7deb-3252-15e2-c1394b574d64/mzi.lfxshysm.jpg/300x300bb.jpg
Jaded,Aerosmith,Just Push Play,1658654996,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/7b/ab/2c/7bab2c4b-d944-ad5a-fc69-86ee7abadc08/22UM1IM35707.rgb.jpg/300x300bb.jpg
Let's Stay Together,Al Green,Let's Stay Together - Single,1606271325,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/a7/2a/47/a72a47b7-12dc-64a3-06d7-b2fc0303f465/196626250131.jpg/300x300bb.jpg
Ironic,Alanis Morissette,Pop Rock 90s,1463367474,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/cb/25/29/cb25292a-f87e-f32c-c78b-bdb7c31dab13/842474126066.jpg/300x300bb.jpg
Black Velvet,Alannah Myles,Alannah Myles,1837530989,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/af/ac/b1/afacb116-c6e9-ae05-a3e5-efdd6ded7094/199538722796.jpg/300x300bb.jpg
A quién le importa,Alaska y Dinarama,Las 100 Mejores Canciones de los 80,857799538,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/64/73/73/64737351-64c1-6a06-d22d-c38ac2dc63f9/825646288205.jpg/300x300bb.jpg
Violeta,Alcides,Majestuoso Vol.2 los Reyes del Baile,1617012564,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/6f/c0/f0/6fc0f0d9-fe17-8aa0-0283-dda48ebdd521/0605457215924.png/300x300bb.jpg
Juntos para siempre,Alejandro Lerner,Entrelineas,407739678,https://is1-ssl.mzstatic.com/image/thumb/Music/10/9c/3a/mzi.zdwersvi.jpg/300x300bb.jpg
Me haces tanto bien,Amistades Peligrosas,Original Masters: Amistades Peligrosas,691402289,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/6b/78/bd/6b78bd34-9e1a-5d05-7e0b-717f8a750f27/724356391857.jpg/300x300bb.jpg
You Know I'm No Good,Amy Winehouse,Back To Black,1422677780,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/5a/72/3f/5a723fec-965d-3483-89f8-d66b79f88419/15UMGIM24224.rgb.jpg/300x300bb.jpg
Alta suciedad,Andrés Calamaro,Alta Suciedad,101375497,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/cd/52/6d/cd526dc6-daaa-e990-7019-47c828efdd1b/mzi.xpwcramk.jpg/300x300bb.jpg
Costumbres argentinas,Andrés Calamaro,Costumbres Argentinas - Single,1680955275,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/21/ef/2e/21ef2e2e-dd23-6487-03fb-fa5dcfe5c637/197188538170.jpg/300x300bb.jpg
El Salmón,Andrés Calamaro,Andrés: Obras Incompletas,316153720,https://is1-ssl.mzstatic.com/image/thumb/Music/59/60/99/mzi.cfwjatrm.jpg/300x300bb.jpg
